Topic 0,covid,pandemic,one,emergency,vax,mean,like,told,canada,rollout
Topic 1,covid,pandemic,masks,worked,thread,proof,would,walensky,much,million
Topic 2,health,covid19,emergency,global,world,covid,longer,public,organization,end
Topic 3,covid,mrna,covid19,vaccines,old,year,injured,children,get,days
Topic 4,covid,amp,people,new,vaccine,pandemic,risk,jobs,dont,got
